Text,Intent
"Hi, I have a question about SkyWings airline. Can a caregiver accompany a passenger with special needs on a domestic flight? I understand that SkyWings operates only in India and offers domestic flights. I appreciate your assistance in this matter.",Passenger Services
I'm planning a weekend getaway and I was wondering if you could suggest some good spots near Mumbai that are easily accessible by SkyWings. I'd appreciate it if you could provide some recommendations.,Irrelevant
"I need to change my travel dates. Can you please help me with that? I have a flight booked with SkyWings airline for [date1] to [date2], but I need to reschedule it to [new date1] to [new date2]. Is it possible to make this change? Thank you for your assistance.","Booking, Modifications And Cancellations"
"Hello, I would like to inquire about the frequency of SkyWings flights on the Delhi-Mumbai route. Can you please provide me with the schedule for the next month?",Flight Operations
"Hello, I'm planning a trip to India and I have a question about fees and rules for excess baggage. Can you please let me know what the charges are for checking in additional bags? Also, are there any restrictions on the size or weight of the bags? Thank you for your help!",Baggage
Hello! I'm a passenger looking to book a flight with SkyWings. I'm wondering if flights between Mumbai and Bangalore operate daily. Could you please provide me with the information on this?,Flight Operations
Hi there! I'm having some trouble with my check-in process. I wanted to know if there's any way to check-in online before my flight? I appreciate your help.,Check-In And Boarding
"Hi, I recently purchased a bike and I'm looking for some tips on how to maintain it. Can you suggest any resources or best practices for bike maintenance? Thank you.",Irrelevant
"Hello, I have a question regarding refund eligibility for group bookings on domestic flights with SkyWings airline. Can you please clarify if there are any specific criteria or conditions that need to be met for a refund to be processed in such cases? Thank you.",Refunds
"Hello, I'm interested in booking a flight with SkyWings, but I'm not sure if web check-in is available for my flight. Can you please confirm this for me?",Check-In And Boarding
"Hello, I am a passenger on a connecting domestic flight with SkyWings. I just wanted to double-check if there is any possibility of a delay or any other issues that may affect my connecting flight. Thank you in advance for your assistance.",Flight Operations
"Hello, I have a query regarding partial refunds for partially used flight segments. Is it possible to receive a refund for a portion of the ticket price for a flight that I have already taken?",Refunds
"Hi, I have a problem with the tap in my hotel room. It's leaking water and I can't turn it off. Do you have any idea how to fix it or who to contact? Please hurry, I don't want to waste water or get charged extra. Thanks.",Irrelevant
How do I book a bus ticket from Bangalore to Mangalore?,Irrelevant
