Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Mumbai (BOM),Bengaluru (BLR),SW 5322,00:05,01:50,Direct,,Daily
Phuket (HKT),Mumbai (BOM),SW 1912,00:05,03:10,Direct,,Daily
Pune (PNQ),Jaipur (JAI),SW 6117,00:05,01:50,Direct,,Daily
Pune (PNQ),Hyderabad (HYD),SW 0336,00:15,01:25,Direct,,Daily
Kuwait (KWI),Delhi (DEL),SW 1232,00:15,06:55,Direct,,Mon Tue Thu Fri Sat Sun
Pune (PNQ),Varanasi (VNS),SW 0672,00:20,02:20,Direct,,Daily
Chennai (MAA),Colombo (CMB),SW 1171,00:35,02:00,Direct,,Daily
Dammam (DMM),Delhi (DEL),SW 0084,00:35,06:50,Direct,,Daily
Kuwait (KWI),Ahmedabad (AMD),SW 1244,00:40,06:35,Direct,,Daily
Bengaluru (BLR),Pune (PNQ),SW 6563,00:40,02:10,Direct,,Daily
Pune (PNQ),Bengaluru (BLR),SW 0361,00:45,02:10,Direct,,Daily
Mumbai (BOM),Kochi (COK),SW 0549,00:45,02:40,Direct,,Daily
Dammam (DMM),Mumbai (BOM),SW 0082,00:45,06:55,Direct,,Daily
Mumbai (BOM),Ahmedabad (AMD),SW 0911,00:50,02:00,Direct,,Mon Tue Wed Thu Sat Sun
Thiruvananthapuram (TRV),Sharjah (SHJ),SW 1425,00:55,03:55,Direct,,Daily
Pune (PNQ),Kolkata (CCU),SW 2774,01:00,03:25,Direct,,Daily
Bengaluru (BLR),Delhi (DEL),SW 2228,01:00,03:50,Direct,,Mon Sun
Ahmedabad (AMD),Mumbai (BOM),SW 0912,01:10,02:25,Direct,,Daily
Bengaluru (BLR),Denspar Airport(DPS),SW 1605,01:10,10:15,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 2775,01:10,03:20,Direct,,Daily
Kolkata (CCU),Pune (PNQ),SW 6472,01:10,03:50,Direct,,Daily
Kolkata (CCU),Coimbatore (CJB),SW 6472,01:10,06:05,Via,PNQ,Daily
Pune (PNQ),Kochi (COK),SW 0681,01:10,02:55,Direct,,Daily
Chennai (MAA),Pune (PNQ),SW 0916,01:10,02:50,Direct,,Mon Tue Wed Thu Sat Sun
Bengaluru (BLR),Ahmedabad (AMD),SW 6779,01:15,03:30,Direct,,Daily
Kochi (COK),Pune (PNQ),SW 0242,01:15,02:55,Direct,,Daily
Kochi (COK),Chandigarh (IXC),SW 0242,01:15,06:00,Via,PNQ,Daily
Pune (PNQ),Chennai (MAA),SW 6745,01:15,02:55,Direct,,Daily
Kuwait (KWI),Kochi (COK),SW 1238,01:15,08:30,Direct,,Mon Tue Thu Sat Sun
Jeddah (JED),Kozhikode (CCJ),SW 0066,01:25,09:20,Direct,,Daily
Pune (PNQ),Bhopal (BHO),SW 0258,01:40,03:10,Direct,,Daily
Kolkata (CCU),Mumbai (BOM),SW 5065,01:45,04:45,Direct,,Daily
Dammam (DMM),Hyderabad (HYD),SW 0086,01:45,08:15,Direct,,Daily
Sharjah (SHJ),Lucknow (LKO),SW 1424,01:55,06:50,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 2011,02:00,04:20,Direct,,Daily
Mumbai (BOM),Dubai (DXB),SW 1511,02:00,04:00,Direct,,Daily
Doha (DOH),Delhi (DEL),SW 1346,02:00,08:15,Direct,,Daily
Doha (DOH),Mumbai (BOM),SW 1342,02:10,08:05,Direct,,Daily
Doha (DOH),Hyderabad (HYD),SW 1318,02:10,08:40,Direct,,Daily
Delhi (DEL),Pune (PNQ),SW 2343,02:15,04:25,Direct,,Daily
Ahmedabad (AMD),Dubai (DXB),SW 1477,02:20,04:05,Direct,,Daily
Tashkent (TAS),Delhi (DEL),SW 1806,02:25,05:45,Direct,,Daily
Hyderabad (HYD),Pune (PNQ),SW 0337,02:25,03:35,Direct,,Daily
Delhi (DEL),Kolkata (CCU),SW 2788,02:30,04:35,Direct,,Daily
Kolkata (CCU),Singapore (SIN),SW 1015,02:30,09:20,Direct,,Daily
Delhi (DEL),Chennai (MAA),SW 2006,02:30,05:15,Direct,,Daily
Chennai (MAA),Delhi (DEL),SW 0456,02:30,05:25,Direct,,Daily
Kuwait (KWI),Hyderabad (HYD),SW 1234,02:30,09:20,Direct,,Daily
Pune (PNQ),Delhi (DEL),SW 2418,02:35,04:45,Direct,,Daily
Jeddah (JED),Ahmedabad (AMD),SW 0076,02:40,09:35,Direct,,Daily
Thiruvananthapuram (TRV),Pune (PNQ),SW 6648,02:40,04:35,Direct,,Daily
Muscat (MCT),Kochi (COK),SW 1272,02:40,07:35,Direct,,Mon Wed Fri Sun
Singapore (SIN),Tiruchirappalli (TRZ),SW 1008,02:45,04:30,Direct,,Daily
Mumbai (BOM),Ahmedabad (AMD),SW 5085,02:45,03:55,Direct,,Mon Tue Wed Thu Sun
Pune (PNQ),Amritsar (ATQ),SW 0721,02:55,05:20,Direct,,Daily
Bangkok (BKK),Kolkata (CCU),SW 1058,02:55,04:20,Direct,,Daily
Mumbai (BOM),Chennai (MAA),SW 0136,02:55,04:55,Direct,,Daily
Varanasi (VNS),Pune (PNQ),SW 6884,02:55,05:05,Direct,,Daily
Pune (PNQ),Bengaluru (BLR),SW 6877,03:00,04:25,Direct,,Daily
Mumbai (BOM),Kolkata (CCU),SW 0138,03:00,05:35,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 6045,03:00,05:10,Direct,,Daily
Colombo (CMB),Chennai (MAA),SW 1172,03:00,04:20,Direct,,Daily
Jeddah (JED),Delhi (DEL),SW 0064,03:00,10:40,Direct,,Daily
Ahmedabad (AMD),Pune (PNQ),SW 0699,03:00,04:10,Direct,,Mon Tue Wed Thu Sat Sun
Bengaluru (BLR),Mumbai (BOM),SW 5323,03:00,05:00,Direct,,Mon Tue Wed Thu Sun
